"id";"code";"modele";"code_marque";"id_marque";"rappel_marque"
"1";"1552";"U5";"AI";"1";"AIWAYS"
"2";"114";"2141";"AK";"2";"ALEKO"
"3";"142";"1300";"AR";"3";"ALFA ROMEO"
"4";"143";"1600";"AR";"3";"ALFA ROMEO"
"5";"144";"164";"AR";"3";"ALFA ROMEO"
"6";"145";"1750";"AR";"3";"ALFA ROMEO"
"7";"146";"2000";"AR";"3";"ALFA ROMEO"
"8";"1328";"4C";"AR";"3";"ALFA ROMEO"
"9";"150";"ALFA 145";"AR";"3";"ALFA ROMEO"
"10";"151";"ALFA 146";"AR";"3";"ALFA ROMEO"
"11";"1104";"ALFA 147";"AR";"3";"ALFA ROMEO"
"12";"148";"ALFA 155";"AR";"3";"ALFA ROMEO"
"13";"153";"ALFA 156";"AR";"3";"ALFA ROMEO"
"14";"1248";"ALFA 159";"AR";"3";"ALFA ROMEO"
"15";"1276";"ALFA 159 SW";"AR";"3";"ALFA ROMEO"
"16";"154";"ALFA 166";"AR";"3";"ALFA ROMEO"
"17";"132";"ALFA 33";"AR";"3";"ALFA ROMEO"
"18";"133";"ALFA 6";"AR";"3";"ALFA ROMEO"
"19";"134";"ALFA 75";"AR";"3";"ALFA ROMEO"
"20";"135";"ALFA 90";"AR";"3";"ALFA ROMEO"
"21";"1198";"ALFA GT";"AR";"3";"ALFA ROMEO"
"22";"152";"ALFA GTV";"AR";"3";"ALFA ROMEO"
"23";"136";"ALFA-SUD";"AR";"3";"ALFA ROMEO"
"24";"137";"ALFETTA";"AR";"3";"ALFA ROMEO"
"25";"1270";"BRERA";"AR";"3";"ALFA ROMEO"
"26";"1224";"CROSSWAGON";"AR";"3";"ALFA ROMEO"
"27";"138";"GIULIA";"AR";"3";"ALFA ROMEO"
"28";"139";"GIULIETTA";"AR";"3";"ALFA ROMEO"
"29";"632";"MITO";"AR";"3";"ALFA ROMEO"
"30";"149";"RZ";"AR";"3";"ALFA ROMEO"
"31";"140";"SPIDER";"AR";"3";"ALFA ROMEO"
"32";"1100";"SPORTWAGON";"AR";"3";"ALFA ROMEO"
"33";"141";"SPRINT";"AR";"3";"ALFA ROMEO"
"34";"1411";"STELVIO";"AR";"3";"ALFA ROMEO"
"35";"147";"SZ";"AR";"3";"ALFA ROMEO"
"36";"1617";"TONALE";"AR";"3";"ALFA ROMEO"
"37";"115";"A110";"AL";"4";"ALPINE RENAULT"
"38";"1436";"A110 II";"AL";"4";"ALPINE RENAULT"
"39";"116";"A310";"AL";"4";"ALPINE RENAULT"
"40";"119";"A610";"AL";"4";"ALPINE RENAULT"
"41";"117";"LE MANS";"AL";"4";"ALPINE RENAULT"
"42";"118";"V6";"AL";"4";"ALPINE RENAULT"
"43";"130";"4X4";"AO";"5";"ARO"
"44";"131";"SPARTANA";"AO";"5";"ARO"
"45";"108";"ROCSTA";"AA";"6";"ASIA"
"46";"735";"CYGNET";"AM";"7";"ASTON MARTIN"
"47";"160";"100";"AU";"8";"AUDI"
"48";"161";"200";"AU";"8";"AUDI"
"49";"162";"50";"AU";"8";"AUDI"
"50";"163";"60";"AU";"8";"AUDI"
"51";"164";"70";"AU";"8";"AUDI"
"52";"165";"75";"AU";"8";"AUDI"
"53";"166";"80";"AU";"8";"AUDI"
"54";"167";"90";"AU";"8";"AUDI"
"55";"699";"A1";"AU";"8";"AUDI"
"56";"1457";"A1 II";"AU";"8";"AUDI"
"57";"1094";"A2";"AU";"8";"AUDI"
"58";"173";"A3";"AU";"8";"AUDI"
"59";"1412";"A3 *";"AU";"8";"AUDI"
"60";"1518";"A3 IV";"AU";"8";"AUDI"
"61";"785";"A3 SPORTBACK";"AU";"8";"AUDI"
"62";"172";"A4";"AU";"8";"AUDI"
"63";"610";"A4 III - IV";"AU";"8";"AUDI"
"64";"1378";"A4 V";"AU";"8";"AUDI"
"65";"593";"A5";"AU";"8";"AUDI"
"66";"678";"A5 SPORTBACK";"AU";"8";"AUDI"
"67";"169";"A6";"AU";"8";"AUDI"
"68";"635";"A6 III";"AU";"8";"AUDI"
"69";"725";"A6 IV";"AU";"8";"AUDI"
"70";"1448";"A6 V";"AU";"8";"AUDI"
"71";"703";"A7";"AU";"8";"AUDI"
"72";"171";"A8";"AU";"8";"AUDI"
"73";"1108";"ALLROAD";"AU";"8";"AUDI"
